user_id_r,first_request_time,first_pickup_time
15730.0,07:42:47,07:51:50
15739.0,09:41:31,09:43:17
15754.0,09:31:25,13:51:28
15767.0,09:16:38,09:20:25
15774.0,09:31:36,16:18:49
15778.0,12:05:28,12:07:03
15786.0,10:11:32,10:12:05
15810.0,08:39:33,08:40:01
15825.0,18:44:22,18:47:35
15837.0,17:27:26,17:29:27
15841.0,11:59:18,12:00:00
15845.0,09:33:30,09:34:57
15847.0,11:48:29,11:49:57
15850.0,16:51:40,16:53:35
15858.0,16:35:57,16:36:54
15864.0,11:31:39,11:33:55
15869.0,09:59:53,10:01:33
15874.0,17:36:53,17:37:18
15893.0,16:44:04,16:44:30
15897.0,15:30:14,15:32:37
15903.0,10:12:49,10:16:25
15906.0,12:27:40,12:29:10
15908.0,18:30:28,18:32:14
15909.0,10:36:32,10:38:11
15916.0,17:05:45,17:06:34
15924.0,13:33:37,13:35:38
16165.0,10:51:38,10:55:44
16167.0,08:08:34,08:09:02
16168.0,07:07:14,07:07:33
16169.0,10:47:26,10:50:10
16172.0,15:55:07,15:57:35
16177.0,11:37:17,11:37:47
16178.0,16:46:47,16:47:44
16180.0,17:47:55,17:49:50
16183.0,17:22:02,17:23:59
16185.0,14:26:51,14:27:43
16186.0,14:48:35,14:49:27
16191.0,08:37:44,08:40:47
16200.0,07:46:52,07:47:45
16203.0,11:14:27,11:15:28
16206.0,17:54:02,17:55:06
16213.0,09:37:41,09:38:13
16216.0,15:38:42,15:39:51
16222.0,16:39:46,16:40:17
